Player,Nationality,Team,Position,Age,Comp Level,Games,Games Starts,Minutes,Minutes 90S,Goals_Per90,Assists_Per90,Goals Pens_Per90,Pens Made_Per90,Pens Att_Per90,Cards Yellow_Per90,Cards Red_Per90,Xg_Per90,Npxg_Per90,Passes Completed_Per90,Passes_Per90,Passes Pct_Per90,Passes Total Distance_Per90,Passes Progressive Distance_Per90,Passes Completed Short_Per90,Passes Short_Per90,Passes Pct Short_Per90,Passes Completed Medium_Per90,Passes Completed Long_Per90,Passes Long_Per90,Passes Pct Long_Per90,Assisted Shots_Per90,Passes Into Final Third_Per90,Passes Into Penalty Area_Per90,Crosses Into Penalty Area_Per90,Progressive Passes_Per90,Shots On Target_Per90,Shots On Target Pct_Per90,Goals Per Shot_Per90,Goals Per Shot On Target_Per90,Average Shot Distance_Per90,Shots Free Kicks_Per90,Npxg Per Shot_Per90,Xg Net_Per90,Npxg Net_Per90,Passes Live_Per90,Passes Dead_Per90,Passes Free Kicks_Per90,Through Balls_Per90,Passes Switches_Per90,Crosses_Per90,Corner Kicks Straight_Per90,Throw Ins_Per90,Passes Offsides_Per90,Passes Blocked_Per90,Sca_Per90,Sca Passes Live_Per90,Sca Passes Dead_Per90,Sca Dribbles_Per90,Sca Shots_Per90,Sca Fouled_Per90,Sca Defense_Per90,Gca_Per90,Gca Passes Live_Per90,Gca Passes Dead_Per90,Gca Dribbles_Per90,Gca Shots_Per90,Gca Fouled_Per90,Gca Defense_Per90,Tackles_Per90,Tackles Won_Per90,Tackles Def 3Rd_Per90,Tackles Mid 3Rd_Per90,Tackles Att 3Rd_Per90,Dribble Tackles_Per90,Dribbles Vs_Per90,Dribble Tackles Pct_Per90,Dribbled Past_Per90,Blocks_Per90,Blocked Shots_Per90,Blocked Passes_Per90,Interceptions_Per90,Tackles Interceptions_Per90,Clearances_Per90,Errors_Per90,Touches_Per90,Touches Def Pen Area_Per90,Touches Def 3Rd_Per90,Touches Mid 3Rd_Per90,Touches Att 3Rd_Per90,Touches Att Pen Area_Per90,Touches Live Ball_Per90,Dribbles Completed_Per90,Dribbles_Per90,Dribbles Completed Pct_Per90,Miscontrols_Per90,Dispossessed_Per90,Passes Received_Per90,Progressive Passes Received_Per90
A.J. DeLaGarza, GUM,New England,"DF,MF",34.0,MLS,4,4.0,290,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.94,45.94,24.44,563.44,185.62,18.12,19.69,28.78,15.0,2.5,6.25,12.5,0.31,1.88,0.31,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.31,5.62,0.0,0.0,0.0,1.56,0.0,5.31,0.0,1.56,0.62,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,1.25,0.62,0.62,0.62,0.31,1.25,7.81,0.94,0.94,0.31,0.62,0.31,2.19,2.5,0.0,52.19,5.62,19.69,23.12,9.69,0.0,52.19,0.0,0.31,0.0,0.94,0.0,28.75,0.31
Aapo Halme, FIN,Barnsley,DF,23.0,Championship,5,2.0,204,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,29.13,43.04,29.43,503.91,164.78,11.3,13.91,35.35,14.35,1.74,8.7,8.7,0.43,2.17,0.0,0.0,1.74,0.0,0.0,0.0,0.0,1.96,0.0,0.07,-0.09,-0.09,42.61,0.0,0.0,0.0,0.87,0.43,0.0,0.0,0.43,0.0,0.87,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.43,0.43,0.0,0.0,2.17,0.0,2.17,1.3,0.0,1.3,1.3,2.17,1.74,0.0,50.0,3.04,20.87,25.65,3.48,0.43,50.0,0.0,0.0,0.0,0.0,0.0,29.13,0.43
Aaron Connolly, IRL,Middlesbrough,FW,21.0,Championship,23,14.0,1339,14.799999999999999,0.15,0.0,0.15,0.0,0.0,0.15,0.0,0.52,0.52,16.71,23.16,48.75,233.09,34.83,8.83,10.36,64.39,6.07,0.69,1.58,5.28,1.12,0.92,0.31,0.0,1.7399999999999998,1.22,2.98,0.0,0.01,10.19,0.0,0.09999999999999999,-0.36,-0.36,21.96,1.2,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.15,2.94,2.48,0.0,0.15,0.23,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.08,0.08,0.08,0.08,0.82,2.54,0.74,1.8699999999999999,0.0,1.8699999999999999,0.15,0.38,0.0,0.0,42.54,0.0,0.31,16.5,26.11,7.16,42.54,0.69,2.48,4.04,4.54,2.48,30.189999999999998,8.42
Aaron Cresswell,ENG,West Ham,DF,31.0,Premier League,31,31.0,2726,30.3,0.07,0.1,0.07,0.0,0.0,0.1,0.0,0.04,0.04,54.65,69.17,2.61,902.01,367.49,27.62,30.1,3.03,21.45,4.42,10.5,1.39,1.02,4.32,0.63,0.4,3.89,0.1,0.55,0.0,0.02,0.68,0.26,0.0,0.02,0.02,57.29,11.55,2.21,0.0,0.2,4.79,0.0,7.66,0.33,1.45,1.75,1.02,0.66,0.0,0.07,0.0,0.0,0.2,0.07,0.13,0.0,0.0,0.0,0.0,0.92,0.59,0.59,0.2,0.13,0.43,0.83,1.72,0.4,1.02,0.59,0.43,1.16,2.08,2.18,0.0,75.31,4.13,22.08,35.31,18.51,0.73,75.31,0.26,0.56,1.55,0.46,0.13,49.34,1.16
Aaron Herrera, USA,Real Salt Lake,DF,24.0,MLS,27,25.0,2268,25.2,0.0,0.08,0.0,0.0,0.0,0.24,0.04,0.02,0.02,43.02,56.75,3.01,871.87,305.52,17.22,19.4,3.52,18.97,6.63,12.98,2.03,0.95,4.29,1.51,0.91,3.41,0.12,0.79,0.0,0.0,1.03,0.0,0.0,-0.02,-0.02,48.06,8.49,0.83,0.04,1.63,4.52,0.0,7.54,0.2,0.71,2.22,1.9,0.12,0.12,0.08,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,1.39,0.79,0.91,0.44,0.04,0.87,1.19,2.91,0.32,1.31,0.67,0.63,1.55,2.94,2.82,0.04,66.39,5.0,21.83,28.85,16.79,0.95,66.39,0.91,1.39,2.61,1.15,0.56,40.36,1.51
Aaron Hickey,SCO,Bologna,DF,19.0,Serie A,36,34.0,2820,31.3,0.16,0.03,0.16,0.0,0.0,0.22,0.0,0.04,0.04,32.97,41.18,2.56,466.39,135.4,19.49,21.44,2.9,11.34,1.09,2.49,1.39,0.61,1.44,0.61,0.26,1.05,0.42,1.98,0.01,0.01,0.68,0.0,0.0,0.12,0.12,32.62,8.53,0.51,0.06,0.0,1.66,0.0,8.02,0.03,1.05,1.41,1.18,0.03,0.06,0.0,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.47,0.93,0.77,0.48,0.22,0.64,0.96,2.13,0.32,1.15,0.42,0.73,0.93,2.4,1.41,0.0,50.26,2.59,15.21,21.12,14.31,0.77,50.26,0.96,1.57,1.96,1.53,0.86,30.38,2.14
Aaron Lennon,ENG,Burnley,"MF,FW",34.0,Premier League,28,17.0,1551,17.2,0.12,0.0,0.12,0.0,0.0,0.12,0.0,0.08,0.08,14.65,22.21,3.84,190.7,45.52,9.07,11.45,4.6,3.78,0.58,1.63,2.08,0.52,0.81,0.23,0.12,0.93,0.23,1.94,0.01,0.03,1.17,0.0,0.01,0.04,0.04,21.51,0.52,0.06,0.0,0.06,2.33,0.0,0.17,0.17,1.1,1.92,1.22,0.0,0.29,0.12,0.29,0.0,0.23,0.06,0.0,0.12,0.0,0.06,0.0,1.92,0.99,0.58,0.76,0.58,0.58,1.98,1.71,1.4,1.51,0.23,1.28,0.52,2.44,0.81,0.0,31.45,1.22,5.06,12.91,13.95,2.38,31.45,0.76,1.74,2.52,1.45,0.76,19.24,2.15
Aaron Leya Iseka, BEL,Barnsley,"FW,MF",23.0,Championship,25,14.0,1287,14.3,0.21,0.0,0.21,0.0,0.0,0.07,0.0,0.16,0.16,19.37,26.78,5.06,251.61,45.8,10.98,14.41,5.33,5.1,0.7,1.33,3.68,1.12,1.19,0.35,0.07,1.12,0.49,2.57,0.01,0.03,1.28,0.0,0.01,0.05,0.05,25.8,0.91,0.07,0.0,0.28,0.84,0.0,0.14,0.07,1.12,2.66,2.03,0.0,0.28,0.21,0.14,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0.42,0.14,0.0,0.42,0.0,0.21,0.42,3.5,0.21,0.35,0.0,0.35,0.35,0.77,0.49,0.0,36.43,0.56,3.08,17.97,16.01,2.45,36.43,1.26,2.73,3.23,3.22,2.66,28.67,5.66
Aaron Long, USA,NY Red Bulls,DF,29.0,MLS,29,28.0,2366,26.3,0.15,0.0,0.15,0.0,0.0,0.19,0.0,0.1,0.1,30.0,39.35,2.9,572.93,243.19,10.49,12.55,3.18,16.35,2.93,6.24,1.79,0.3,2.28,0.15,0.04,2.59,0.27,1.4,0.01,0.02,0.4,0.0,0.01,0.05,0.05,37.49,1.67,1.18,0.0,0.11,0.08,0.0,0.49,0.19,0.15,0.87,0.76,0.0,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.49,0.49,0.23,0.11,0.38,0.76,1.9,0.38,0.87,0.42,0.46,1.03,1.86,2.89,0.0,47.34,4.41,20.95,23.5,3.16,1.71,47.34,0.11,0.15,2.85,0.3,0.11,24.3,0.61
Aaron Meijers, NED,Sparta R'dam,DF,33.0,Eredivisie,12,8.0,740,8.2,0.0,0.24,0.0,0.0,0.0,0.12,0.12,0.01,0.01,31.1,46.83,8.1,540.0,230.49,15.73,18.54,10.35,11.83,2.93,8.29,4.3,1.1,3.17,0.85,0.49,2.56,0.0,0.0,0.0,0.0,3.22,0.0,0.0,-0.01,-0.01,37.56,8.9,0.61,0.0,0.0,4.02,0.0,7.93,0.37,1.71,1.83,1.59,0.12,0.0,0.0,0.12,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0,2.56,1.83,1.46,0.73,0.37,1.46,2.56,6.96,1.1,0.85,0.12,0.73,0.49,3.05,3.78,0.0,57.32,4.15,17.93,26.34,14.27,1.1,57.32,0.24,0.73,4.06,1.59,0.61,28.66,1.71
Aaron Ramsdale, ENG,Sheffield Utd,GK,23.0,Championship,36,36.0,3240,36.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,53.879999999999995,75.15,39.64,1398.03,967.94,11.26,11.35,52.9,26.59,15.969999999999999,36.65,26.06,0.0,1.76,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.35,19.68,5.29,0.0,0.12,0.0,0.0,0.06,0.12,0.12,0.56,0.5,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.06,0.0,0.0,0.03,0.06,1.47,0.03,0.0,0.0,0.0,0.0,0.06,0.76,0.09,78.03,63.79,77.15,0.94,0.0,0.0,78.03,0.03,0.03,2.94,0.03,0.0,40.53,0.0
Aaron Ramsey,WAL,Juventus,MF,30.0,Serie A,3,1.0,99,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.64,60.0,81.27,921.82,236.36,22.73,26.36,78.36,26.36,3.64,4.55,72.73,1.82,5.45,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.18,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.0,0.0,60.91,0.91,18.18,35.45,7.27,1.82,60.91,0.0,0.0,0.0,0.91,0.91,52.73,1.82
Aaron Rowe, ENG,Huddersfield,DF,20.0,Championship,1,0.0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,500.0,520.0,260.0,10.0,20.0,500.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,10.0,40.0,10.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0
Aaron Wan-Bissaka,ENG,Manchester Utd,DF,23.0,Premier League,20,20.0,1793,19.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.03,0.03,46.48,57.34,4.08,625.58,203.42,30.05,33.02,4.57,12.81,1.81,3.37,2.7,0.7,2.61,0.6,0.4,1.91,0.05,1.01,0.0,0.0,0.71,0.0,0.01,-0.03,-0.03,48.64,8.59,0.2,0.0,0.3,1.76,0.0,8.39,0.1,2.26,1.76,1.46,0.0,0.15,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.46,1.81,1.26,0.9,0.3,0.7,1.01,3.52,0.3,1.21,0.7,0.5,1.71,4.17,2.06,0.1,67.44,3.77,22.51,28.19,17.79,1.41,67.44,1.81,3.07,2.96,1.16,0.65,40.75,2.01
Aarón Escandell,ESP,Granada,GK,25.0,La Liga,4,3.0,284,3.2,0.0,0.0,0.0,0.0,0.0,0.31,0.31,0.0,0.0,22.5,40.0,17.59,840.62,740.94,3.75,3.75,31.25,5.31,13.44,30.62,13.72,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.81,17.19,5.62,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.31,0.0,0.0,0.0,0.0,0.0,1.25,0.0,42.81,35.94,42.81,0.0,0.0,0.0,42.81,0.0,0.0,0.0,0.0,0.0,10.62,0.0
Aarón Martín,ESP,Mainz 05,DF,24.0,Bundesliga,28,25.0,2292,25.5,0.04,0.04,0.04,0.0,0.0,0.27,0.0,0.04,0.04,30.12,44.16,2.67,535.02,204.71,14.78,16.75,3.46,10.75,4.08,10.67,1.5,1.8,2.24,1.14,0.67,2.16,0.2,1.09,0.0,0.01,0.84,0.2,0.0,0.0,0.0,34.2,9.76,1.06,0.04,0.16,7.06,0.0,4.94,0.2,0.94,2.67,1.45,1.02,0.0,0.12,0.04,0.04,0.12,0.04,0.08,0.0,0.0,0.0,0.0,2.12,1.29,1.25,0.71,0.16,0.94,2.16,1.71,1.22,0.94,0.16,0.78,0.78,2.9,1.37,0.0,52.12,1.53,12.98,23.49,16.2,0.75,52.12,1.1,1.73,2.49,1.29,0.59,27.84,1.33
Abbas Ibrahim, NGA,Paços,"MF,FW",23.0,Primeira Liga,10,1.0,181,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05,0.05,42.0,47.0,44.7,711.5,148.0,18.0,19.0,47.35,20.5,2.5,3.0,41.65,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,13.2,0.0,0.02,-0.05,-0.05,46.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.5,1.0,2.0,0.0,1.0,2.5,20.0,1.5,1.5,1.0,0.5,1.5,4.5,1.0,1.0,60.0,4.0,14.0,36.5,10.0,0.0,60.0,1.0,1.5,33.35,2.0,0.5,30.0,2.0
Abdallah Sima, SEN,Stoke City,FW,20.0,Championship,2,1.0,73,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,93.75,200.0,8.75,11.25,12.5,112.5,2.5,1.25,1.25,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,2.5,1.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,1.25,0.0,31.25,1.25,2.5,11.25,17.5,2.5,31.25,1.25,2.5,62.5,3.75,2.5,26.25,5.0
Abdel Jalil Medioub,ALG,Bordeaux,DF,23.0,Ligue 1,10,6.0,622,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,33.48,41.59,11.67,617.1,233.19,11.88,13.91,12.38,17.54,3.19,6.81,6.78,0.0,1.59,0.0,0.0,1.74,0.0,0.0,0.0,0.0,3.04,0.0,0.0,-0.01,-0.01,40.72,0.87,0.72,0.0,0.29,0.0,0.0,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.72,0.72,0.43,0.14,0.43,0.58,10.87,0.14,1.16,0.58,0.58,1.74,3.04,4.93,0.0,53.04,6.81,35.22,17.39,0.58,0.29,53.04,0.43,0.43,14.49,0.43,0.14,32.17,0.0
Abdelhamid Sabiri,MAR,Sampdoria,"MF,FW",24.0,Serie A,14,9.0,893,9.9,0.3,0.2,0.3,0.0,0.0,0.3,0.0,0.13,0.13,26.16,34.95,7.57,449.7,116.67,12.42,14.65,8.57,9.9,2.83,4.44,6.42,1.31,2.83,0.51,0.1,2.32,0.91,5.69,0.02,0.03,2.38,0.3,0.01,0.17,0.17,31.62,2.93,1.52,0.0,0.4,1.52,0.0,0.51,0.4,1.31,2.83,1.82,0.2,0.4,0.0,0.2,0.2,0.51,0.2,0.0,0.1,0.0,0.1,0.1,3.43,1.82,1.01,1.52,0.91,0.71,2.53,2.83,1.82,1.01,0.2,0.81,0.71,4.14,0.3,0.0,48.38,0.51,5.35,25.76,18.08,2.42,48.38,1.72,3.03,5.73,3.23,1.82,34.75,4.04
Abdenasser El Khayati, NED,Willem II,"MF,FW",32.0,Eredivisie,5,0.0,55,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.67,55.0,126.33,586.67,146.67,25.0,30.0,138.83,11.67,3.33,10.0,55.5,0.0,3.33,0.0,0.0,3.33,0.0,0.0,0.0,0.0,30.17,0.0,0.07,0.0,0.0,46.67,8.33,3.33,0.0,0.0,5.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.33,1.67,5.0,21.67,38.33,3.33,63.33,0.0,1.67,0.0,3.33,5.0,40.0,5.0
Abdessamad Ezzalzouli,MAR,Barcelona,FW,19.0,La Liga,10,6.0,580,6.4,0.16,0.0,0.16,0.0,0.0,0.62,0.0,0.28,0.28,20.62,29.06,11.09,251.72,34.84,13.75,16.41,13.09,3.75,1.09,1.72,9.94,0.94,0.62,0.62,0.16,1.09,0.62,3.91,0.01,0.04,2.58,0.0,0.02,-0.12,-0.12,28.44,0.62,0.0,0.0,0.16,2.34,0.0,0.47,0.0,1.25,2.66,1.41,0.0,0.94,0.16,0.16,0.0,0.31,0.16,0.0,0.0,0.16,0.0,0.0,2.66,1.41,1.41,0.78,0.47,0.78,1.25,9.77,0.47,0.47,0.0,0.47,1.41,4.06,0.0,0.0,46.72,0.16,6.56,12.03,29.53,8.12,46.72,5.31,9.22,9.0,3.59,1.88,33.12,6.56
Abdou Diallo,SEN,Paris S-G,DF,25.0,Ligue 1,12,10.0,877,9.7,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.01,0.01,64.23,72.58,9.12,1037.22,399.07,31.13,32.99,9.73,27.11,4.33,6.49,6.88,0.41,4.23,0.62,0.41,4.23,0.1,5.15,0.0,0.0,1.68,0.0,0.01,-0.01,-0.01,65.46,7.01,1.65,0.0,0.1,1.86,0.0,5.36,0.1,1.03,0.62,0.62,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.0,0.0,0.0,0.0,2.27,1.44,1.03,0.93,0.31,0.82,1.44,5.89,0.62,0.62,0.21,0.41,1.03,3.3,1.96,0.1,81.34,5.26,24.33,42.68,15.26,0.72,81.34,1.96,2.68,7.54,1.34,0.62,59.79,1.03
Abdou Harroui, NED,Sparta R'dam,MF,23.0,Eredivisie,23,4.0,542,6.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.12,0.12,94.4,110.4,101.86,1671.4,280.2,40.0,43.8,111.36,45.0,6.4,10.2,66.2,1.0,11.4,0.0,0.0,4.2,0.4,3.08,0.0,0.0,4.32,0.0,0.01,-0.12,-0.12,108.8,1.4,0.2,0.2,2.2,1.4,0.0,1.2,0.2,1.4,2.6,2.4,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,7.2,3.8,2.8,3.4,1.0,4.6,7.2,74.53999999999999,2.6,3.8,0.0,3.8,0.8,8.0,1.0,0.0,134.8,1.6,24.8,84.6,27.8,2.8,134.8,4.6,6.2,90.0,4.4,2.0,95.2,3.6
Abdoul Zanne, CIV,D.C. United,FW,18.0,MLS,1,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Ba, SEN,Arouca,DF,30.0,Primeira Liga,21,16.0,1343,15.9,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.06,0.06,40.69,49.5,9.74,893.9,349.06,11.19,12.33,9.96,21.45,7.67,13.21,8.08,0.19,1.76,0.13,0.0,1.82,0.13,4.19,0.0,0.0,2.5,0.06,0.01,-0.06,-0.06,46.48,2.89,2.89,0.06,1.38,0.0,0.0,0.0,0.13,0.38,0.63,0.5,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.82,1.26,0.31,0.0,0.82,1.26,9.99,0.44,0.88,0.44,0.44,1.89,3.46,4.21,0.0,59.62,7.48,36.29,22.64,0.82,0.63,59.62,0.19,0.25,10.48,0.82,0.06,34.84,0.13
Abdoulaye Bakayoko,FRA,Saint-Étienne,DF,18.0,Ligue 1,4,4.0,307,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.35,40.0,20.12,476.18,211.18,10.88,12.65,25.29,13.53,2.06,7.65,7.91,0.0,1.76,0.29,0.0,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.82,1.18,1.18,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.88,0.59,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,2.65,3.53,0.88,0.0,2.35,3.53,19.62,1.18,1.47,1.18,0.29,3.24,7.65,4.71,0.0,57.65,4.41,32.06,26.18,0.29,0.29,57.65,1.18,1.47,23.53,1.76,0.59,26.76,0.0
Abdoulaye Bamba,CIV,Angers,"DF,FW",31.0,Ligue 1,10,4.0,458,5.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02,0.02,27.45,35.88,15.0,438.43,179.22,13.73,15.49,17.37,10.98,1.57,3.73,8.25,0.39,1.37,0.39,0.2,2.16,0.0,0.0,0.0,0.0,1.43,0.0,0.02,-0.02,-0.02,27.06,8.82,0.59,0.0,0.0,1.96,0.0,8.24,0.0,1.18,1.37,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.98,1.18,0.0,0.0,0.78,2.16,7.14,1.37,0.98,0.2,0.78,1.76,2.94,2.55,0.0,45.69,3.53,15.88,17.45,12.75,1.18,45.69,0.0,0.2,0.0,1.96,0.2,21.96,1.18
Abdoulaye Cissoko, FRA,Seattle,DF,22.0,MLS,10,5.0,409,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.67,58.0,19.42,910.0,355.56,20.89,21.56,21.53,24.89,4.22,7.78,12.07,0.0,1.33,0.0,0.0,0.89,0.22,22.22,0.0,0.0,2.29,0.0,0.01,0.0,0.0,56.0,2.0,1.11,0.0,1.11,0.0,0.0,0.89,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11,1.11,2.89,0.22,0.0,2.0,2.67,16.67,0.67,1.33,0.44,0.89,1.78,4.89,3.33,0.0,69.78,9.33,40.0,29.56,1.11,0.67,69.78,0.0,0.0,0.0,0.67,0.67,46.89,0.0
Abdoulaye Doucouré,MLI,Everton,MF,28.0,Premier League,30,29.0,2537,28.2,0.07,0.14,0.07,0.0,0.0,0.21,0.0,0.11,0.11,30.64,38.9,2.79,452.87,108.44,17.38,20.6,2.99,10.5,1.6,2.55,2.22,0.67,2.87,0.67,0.0,2.55,0.39,1.15,0.0,0.01,0.63,0.0,0.0,-0.04,-0.04,38.23,0.6,0.39,0.11,0.11,0.39,0.0,0.04,0.07,1.13,2.02,1.77,0.0,0.11,0.11,0.0,0.04,0.25,0.18,0.0,0.04,0.04,0.0,0.0,2.66,1.52,1.06,1.31,0.28,1.13,2.52,1.6,1.38,1.17,0.28,0.89,0.99,3.65,1.13,0.0,49.15,2.23,11.7,26.28,11.95,1.6,49.15,0.74,1.45,1.82,1.52,0.78,26.95,1.88
Abdoulaye Sylla,GUI,Nantes,DF,21.0,Ligue 1,2,2.0,157,1.7,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,31.76,45.29,41.24,660.0,179.41,8.82,10.0,51.88,20.0,2.94,11.18,15.47,0.0,1.18,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.71,0.59,0.59,0.0,0.0,0.59,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,2.35,1.18,0.59,0.59,1.18,2.35,29.41,1.18,2.94,1.76,1.18,0.59,2.94,1.76,0.0,52.94,2.94,20.0,32.35,1.18,0.0,52.94,0.0,0.0,0.0,0.0,0.0,35.29,0.0
