Player,Nationality,Team,Position,Age,Comp Level,Games,Games Starts,Minutes,Minutes 90S,Goals_Per90,Assists_Per90,Goals Pens_Per90,Pens Made_Per90,Pens Att_Per90,Cards Yellow_Per90,Cards Red_Per90,Xg_Per90,Npxg_Per90,Passes Completed_Per90,Passes_Per90,Passes Pct_Per90,Passes Total Distance_Per90,Passes Progressive Distance_Per90,Passes Completed Short_Per90,Passes Short_Per90,Passes Pct Short_Per90,Passes Completed Medium_Per90,Passes Completed Long_Per90,Passes Long_Per90,Passes Pct Long_Per90,Assisted Shots_Per90,Passes Into Final Third_Per90,Passes Into Penalty Area_Per90,Crosses Into Penalty Area_Per90,Progressive Passes_Per90,Shots On Target_Per90,Shots On Target Pct_Per90,Goals Per Shot_Per90,Goals Per Shot On Target_Per90,Average Shot Distance_Per90,Shots Free Kicks_Per90,Npxg Per Shot_Per90,Xg Net_Per90,Npxg Net_Per90,Passes Live_Per90,Passes Dead_Per90,Passes Free Kicks_Per90,Through Balls_Per90,Passes Switches_Per90,Crosses_Per90,Corner Kicks Straight_Per90,Throw Ins_Per90,Passes Offsides_Per90,Passes Blocked_Per90,Sca_Per90,Sca Passes Live_Per90,Sca Passes Dead_Per90,Sca Dribbles_Per90,Sca Shots_Per90,Sca Fouled_Per90,Sca Defense_Per90,Gca_Per90,Gca Passes Live_Per90,Gca Passes Dead_Per90,Gca Dribbles_Per90,Gca Shots_Per90,Gca Fouled_Per90,Gca Defense_Per90,Tackles_Per90,Tackles Won_Per90,Tackles Def 3Rd_Per90,Tackles Mid 3Rd_Per90,Tackles Att 3Rd_Per90,Dribble Tackles_Per90,Dribbles Vs_Per90,Dribble Tackles Pct_Per90,Dribbled Past_Per90,Blocks_Per90,Blocked Shots_Per90,Blocked Passes_Per90,Interceptions_Per90,Tackles Interceptions_Per90,Clearances_Per90,Errors_Per90,Touches_Per90,Touches Def Pen Area_Per90,Touches Def 3Rd_Per90,Touches Mid 3Rd_Per90,Touches Att 3Rd_Per90,Touches Att Pen Area_Per90,Touches Live Ball_Per90,Dribbles Completed_Per90,Dribbles_Per90,Dribbles Completed Pct_Per90,Miscontrols_Per90,Dispossessed_Per90,Passes Received_Per90,Progressive Passes Received_Per90
Joaquín Correa,ARG,Inter,FW,26.0,Serie A,26,12.0,1025,11.4,0.53,0.09,0.53,0.0,0.0,0.18,0.0,0.49,0.49,24.56,30.18,7.14,340.44,77.11,14.56,17.11,7.46,7.11,1.23,1.58,6.82,1.67,1.93,0.96,0.0,2.98,1.4,4.01,0.01,0.03,1.14,0.0,0.01,0.04,0.04,29.39,0.61,0.26,0.09,0.09,0.09,0.0,0.09,0.18,0.53,3.77,2.81,0.0,0.44,0.44,0.09,0.0,0.44,0.26,0.0,0.09,0.09,0.0,0.0,0.96,0.44,0.18,0.53,0.26,0.09,1.14,0.68,1.05,0.7,0.09,0.61,0.26,1.23,0.18,0.0,42.81,0.35,1.84,15.53,26.49,7.37,42.81,1.49,3.51,3.73,2.46,1.05,33.25,7.37
Joaquín Montecinos, CHI,Tijuana,FW,25.0,Liga MX,13,8.0,772,8.6,0.35,0.0,0.35,0.0,0.12,0.35,0.0,0.41,0.31,11.63,20.93,6.47,191.63,59.19,6.63,8.84,8.72,3.37,1.28,3.72,4.0,0.7,0.81,0.7,0.7,0.81,1.16,3.23,0.01,0.03,2.45,0.23,0.01,-0.06,0.03,18.95,1.74,0.35,0.0,0.23,4.65,0.0,0.47,0.23,1.16,2.44,1.51,0.12,0.58,0.0,0.23,0.0,0.35,0.23,0.0,0.12,0.0,0.0,0.0,1.16,0.58,0.7,0.23,0.23,0.7,1.51,5.37,0.81,0.23,0.0,0.23,0.7,1.86,0.47,0.0,35.58,0.58,4.42,12.09,19.65,3.95,35.47,1.86,4.53,4.77,3.49,0.93,24.88,4.77
Joaquín Piquerez, URU,Palmeiras,DF,23.0,Brasileiro Serie A,26,26.0,2227,24.7,0.0,0.08,0.0,0.0,0.0,0.2,0.0,0.04,0.04,43.77,53.28,3.32,758.38,223.24,19.72,21.86,3.65,19.8,3.6,6.32,2.31,0.85,4.29,0.45,0.16,2.79,0.2,1.06,0.0,0.0,0.97,0.0,0.0,-0.04,-0.04,44.33,8.83,1.5,0.04,0.49,2.19,0.0,7.33,0.12,1.38,2.31,1.94,0.16,0.08,0.04,0.04,0.04,0.16,0.12,0.0,0.04,0.0,0.0,0.0,2.31,1.46,0.97,0.89,0.45,1.17,2.75,1.72,1.58,1.46,0.32,1.13,1.54,3.85,1.54,0.0,62.63,2.83,19.31,28.62,15.51,1.01,62.63,0.73,1.82,1.62,1.01,0.4,37.04,2.51
Joaquín Torres, ARG,CF Montréal,"MF,FW",25.0,MLS,27,15.0,1311,14.6,0.21,0.14,0.21,0.0,0.07,0.21,0.0,0.26,0.21,23.15,31.71,5.0,415.82,103.15,11.78,14.32,5.64,6.99,3.77,6.03,4.28,1.3,2.4,1.16,0.0,3.08,0.68,2.74,0.01,0.02,1.38,0.07,0.01,-0.05,0.0,28.97,2.74,0.62,0.41,0.89,2.67,0.0,0.48,0.0,0.68,3.56,2.53,0.48,0.27,0.07,0.21,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.62,0.21,0.27,0.21,0.14,0.41,0.96,2.94,0.55,0.41,0.0,0.41,0.21,0.82,0.27,0.0,43.9,0.34,3.63,18.9,22.4,2.81,43.84,2.67,5.21,3.51,3.29,1.78,34.11,4.45
Jobe Bellingham, ENG,Birmingham City,"MF,DF",15.0,Championship,2,0.0,40,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,20.0,25.0,200.0,322.5,52.5,10.0,10.0,250.0,10.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0,57.25,0.0,0.15,-0.25,-0.25,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,7.5,2.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,2.5,0.0,0.0,35.0,0.0,2.5,12.5,20.0,2.5,35.0,2.5,2.5,250.0,0.0,7.5,17.5,2.5
Jodel Dossou,BEN,Clermont Foot,FW,29.0,Ligue 1,35,23.0,2008,22.3,0.13,0.04,0.13,0.0,0.0,0.18,0.0,0.28,0.28,17.98,25.83,3.12,242.87,71.48,11.3,13.5,3.75,4.53,0.85,1.52,2.51,0.99,2.02,1.12,0.45,1.93,0.76,1.47,0.0,0.01,0.77,0.0,0.01,-0.14,-0.14,25.16,0.54,0.09,0.0,0.0,2.69,0.0,0.4,0.13,1.75,2.91,1.88,0.0,0.58,0.22,0.22,0.0,0.27,0.09,0.0,0.13,0.04,0.0,0.0,1.61,0.76,0.67,0.63,0.31,0.67,1.93,1.57,1.26,0.63,0.0,0.63,0.22,1.84,0.31,0.0,37.85,0.58,4.98,14.39,19.06,3.77,37.85,1.75,3.32,2.36,3.14,1.84,28.12,5.78
Jodi Jones, MLT,Coventry City,"MF,DF",23.0,Championship,9,0.0,102,1.1,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.82,77.27,72.73,1087.27,343.64,32.73,34.55,86.09,21.82,7.27,11.82,55.91,4.55,5.45,4.55,0.91,7.27,0.91,45.45,0.0,0.0,25.0,0.0,0.02,0.0,0.0,72.73,4.55,0.91,0.0,0.0,9.09,0.0,1.82,0.0,2.73,10.0,8.18,0.0,0.0,0.0,0.91,0.91,0.91,0.91,0.0,0.0,0.0,0.0,0.0,0.91,0.91,0.0,0.0,0.91,0.91,2.73,30.27,1.82,0.91,0.0,0.91,0.0,0.91,0.0,0.0,86.36,0.0,6.36,30.0,50.91,0.0,86.36,2.73,3.64,68.18,2.73,0.91,71.82,5.45
Joe Allen, WAL,Stoke City,MF,31.0,Championship,41,38.0,3478,38.6,0.0,0.03,0.0,0.0,0.0,0.18,0.03,0.03,0.03,36.99,45.31,2.11,620.05,164.17,15.78,18.96,2.16,17.49,2.44,3.73,1.69,0.54,3.26,0.39,0.08,2.98,0.0,0.0,0.0,0.0,0.53,0.0,0.0,-0.03,-0.03,44.4,0.88,0.8,0.05,0.21,0.47,0.0,0.0,0.03,1.09,1.45,1.3,0.03,0.0,0.03,0.0,0.1,0.08,0.08,0.0,0.0,0.0,0.0,0.0,2.18,1.45,1.09,0.91,0.18,1.09,1.99,1.41,0.91,1.11,0.36,0.75,2.05,4.22,1.45,0.03,55.49,2.51,12.98,34.56,8.58,0.52,55.49,0.41,0.7,1.54,1.19,0.65,30.8,0.85
Joe Bryan, ENG,Fulham,DF,27.0,Championship,15,13.0,1045,11.6,0.0,0.09,0.0,0.0,0.0,0.26,0.0,0.03,0.03,51.38,65.69,6.74,802.5,288.02,27.5,30.26,7.84,20.69,2.5,8.1,2.66,0.6,4.66,0.78,0.43,3.97,0.17,1.57,0.0,0.0,2.38,0.0,0.0,-0.03,-0.03,53.45,11.98,2.24,0.26,0.43,3.02,0.0,9.74,0.26,1.12,1.81,1.47,0.0,0.09,0.0,0.26,0.0,0.26,0.26,0.0,0.0,0.0,0.0,0.0,2.93,1.72,1.64,0.86,0.43,1.64,3.36,4.2,1.72,1.38,0.26,1.12,1.81,4.74,3.28,0.0,77.59,3.71,25.26,35.78,17.33,0.09,77.59,0.78,1.29,5.17,1.38,0.43,44.31,0.95
Joe Gelhardt,ENG,Leeds United,"FW,MF",19.0,Premier League,20,5.0,746,8.3,0.24,0.24,0.24,0.0,0.0,0.48,0.0,0.4,0.4,12.77,19.64,7.83,140.48,41.45,6.99,9.76,8.63,3.37,0.24,0.6,4.82,1.08,0.6,1.2,0.24,1.57,1.08,4.71,0.01,0.03,1.86,0.0,0.02,-0.16,-0.16,16.39,3.25,0.0,0.12,0.0,0.36,0.0,0.0,0.0,0.24,3.13,1.93,0.0,0.48,0.12,0.6,0.0,0.72,0.24,0.0,0.24,0.0,0.24,0.0,0.48,0.36,0.12,0.0,0.36,0.24,1.2,2.41,0.96,1.08,0.0,1.08,0.0,0.48,0.36,0.0,32.41,0.6,2.05,14.58,16.02,5.3,32.41,2.05,3.49,7.06,3.61,2.29,23.49,6.51
Joe Gomez,ENG,Liverpool,DF,24.0,Premier League,8,4.0,331,3.7,0.0,0.27,0.0,0.0,0.0,0.54,0.0,0.0,0.0,62.16,78.92,21.3,1135.14,307.84,27.84,32.16,23.41,27.3,6.49,10.0,17.54,0.81,7.3,0.81,0.54,5.14,0.0,0.0,0.0,0.0,8.19,0.0,0.01,0.0,0.0,67.84,10.54,1.89,0.0,0.27,5.14,0.0,8.65,0.54,0.81,1.89,1.62,0.0,0.0,0.0,0.27,0.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0,2.7,1.62,1.35,0.54,0.81,1.35,2.43,15.03,1.08,1.08,0.27,0.81,1.35,4.05,1.62,0.0,88.65,1.08,17.3,45.41,26.76,1.62,88.65,1.08,2.16,13.51,1.35,0.54,55.41,3.51
Joe Lolley, ENG,Nott'ham Forest,"MF,FW",28.0,Championship,27,10.0,1019,11.3,0.0,0.09,0.0,0.0,0.0,0.09,0.0,0.14,0.14,24.42,36.64,5.9,395.84,129.47,12.3,16.02,6.8,9.65,1.77,4.16,3.77,2.12,2.3,1.86,0.27,3.54,0.53,1.48,0.0,0.0,2.12,0.18,0.0,-0.14,-0.14,33.19,3.27,0.27,0.35,0.09,3.72,0.0,1.5,0.18,1.5,4.42,3.19,0.18,0.44,0.35,0.09,0.18,0.18,0.09,0.0,0.0,0.09,0.0,0.0,1.59,0.88,0.8,0.44,0.35,0.27,1.5,1.56,1.24,1.24,0.09,1.15,0.8,2.39,0.27,0.09,49.56,0.18,5.93,19.56,25.04,3.27,49.56,1.77,3.81,4.12,2.21,2.04,33.54,3.72
Joe Lumley, ENG,Middlesbrough,GK,26.0,Championship,34,34.0,3060,34.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.01,0.01,19.79,33.85,1.72,602.06,487.79,4.71,4.74,2.92,7.38,7.62,21.32,1.05,0.0,0.91,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.3,0.0,0.01,-0.01,-0.01,22.24,11.53,4.18,0.0,0.06,0.0,0.0,0.0,0.09,0.03,0.29,0.26,0.0,0.0,0.03,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.06,0.09,1.96,0.03,0.06,0.0,0.06,0.0,0.06,0.68,0.09,35.76,26.56,35.15,0.62,0.06,0.06,35.76,0.0,0.0,0.0,0.0,0.0,14.09,0.0
Joe Rafferty, IRL,Preston,"DF,MF",27.0,Championship,5,2.0,218,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.08,60.0,29.21,687.92,320.42,25.83,30.0,35.88,13.33,2.92,7.08,17.17,0.0,4.17,0.0,0.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.08,11.67,0.42,0.0,0.42,2.5,0.0,10.83,1.25,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.83,2.08,0.42,0.0,2.08,2.08,41.67,0.0,1.67,0.0,1.67,1.25,3.75,2.5,0.0,67.92,2.92,23.75,23.75,20.42,0.42,67.92,0.0,0.83,0.0,0.42,0.0,35.42,0.83
